iter	Logloss
0	0.6809171175
1	0.6700560717
2	0.6601706863
3	0.6502242192
4	0.6409714551
5	0.6331719076
6	0.625154951
7	0.6180340166
8	0.6110753319
9	0.6047561049
10	0.5984717823
11	0.5927923153
12	0.5876765978
13	0.583077035
14	0.5786129894
15	0.574956925
16	0.5707892772
17	0.5669845903
18	0.5637016151
19	0.5602450643
20	0.5572737285
21	0.5543715577
22	0.5514300642
23	0.5486678352
24	0.5462003612
25	0.5442279572
26	0.5422206143
27	0.540105336
28	0.5382599891
29	0.5362694689
30	0.53439988
31	0.5326598478
32	0.5311472369
33	0.5297051174
34	0.5282382644
35	0.526841384
36	0.5254344405
37	0.524385396
38	0.5232447252
39	0.5223821412
40	0.5214364274
41	0.5204288758
42	0.5192967028
43	0.5184459614
44	0.5176207166
45	0.5169293946
46	0.5160691799
47	0.5152783865
48	0.5143727211
49	0.5134767371
50	0.5126396452
51	0.5119098299
52	0.511048344
53	0.5104676142
54	0.5098674341
55	0.5092317906
56	0.5085548794
57	0.5078386559
58	0.5073713257
59	0.5069268025
60	0.5064879168
61	0.5058823656
62	0.5052617185
63	0.5047700298
64	0.5043198995
65	0.503867596
66	0.5033244427
67	0.5029284422
68	0.502483836
69	0.5020657385
70	0.5016573846
71	0.5011759459
72	0.500748924
73	0.5003366461
74	0.5000225294
75	0.4995586553
76	0.4991076982
77	0.4986233677
78	0.4982247387
79	0.4978718389
80	0.4975288758
81	0.4972421184
82	0.4968754654
83	0.4964946829
84	0.4961006546
85	0.4956323475
86	0.4953102869
87	0.4949882674
88	0.4945864887
89	0.4942688714
90	0.4938851518
91	0.4935810502
92	0.4932848626
93	0.4929956066
94	0.4926426401
95	0.49226461
96	0.4920969289
97	0.4916745982
98	0.4914359499
99	0.4911378271
100	0.4908670444
101	0.4906377446
102	0.490373482
103	0.4900933265
104	0.4898622927
105	0.4895291285
106	0.4892445328
107	0.4889825664
108	0.4888316635
109	0.4885913786
110	0.4883619712
111	0.4880953865
112	0.4877840557
113	0.4875190154
114	0.4871509685
115	0.4869210354
116	0.4866832153
117	0.4864450211
118	0.4860909471
119	0.4858668546
120	0.4856367233
121	0.4853697893
122	0.4851667594
123	0.4849468644
124	0.484616332
125	0.4844064125
126	0.484221615
127	0.4839681252
128	0.4836722435
129	0.4834194359
130	0.4832007802
131	0.482895375
132	0.4826026695
133	0.4824485105
134	0.4822910925
135	0.4819758328
136	0.4816763986
137	0.4815013946
138	0.4813387531
139	0.4812091024
140	0.480943362
141	0.4806889813
142	0.4804767614
143	0.480249572
144	0.4800881799
145	0.4798693211
146	0.4796594158
147	0.4794626157
148	0.479296755
149	0.4790797629
150	0.4789372496
151	0.4786860378
152	0.4784711547
153	0.4783045033
154	0.4781206236
155	0.4779747596
156	0.4777315567
157	0.4775357864
158	0.4773636169
159	0.4771855078
160	0.4770148068
161	0.4767691167
162	0.4765723664
163	0.47636176
164	0.476078854
165	0.4759224359
166	0.4756715292
167	0.4755503
168	0.4753525872
169	0.4751326053
170	0.4750018258
171	0.4747978775
172	0.4745747136
173	0.4743929798
174	0.4741843388
175	0.4739432295
176	0.473689367
177	0.4734651572
178	0.4732657083
179	0.4731417826
180	0.4729435112
181	0.4727211631
182	0.4724879124
183	0.4723135966
184	0.472102966
185	0.4719754993
186	0.4718049376
187	0.471615139
188	0.4714293061
189	0.4712258926
190	0.4710586142
191	0.4708269205
192	0.4706529368
193	0.4703806947
194	0.4702682336
195	0.4700814308
196	0.4699302087
197	0.4697162383
198	0.4695542842
199	0.4693785195
200	0.4691610185
201	0.469041108
202	0.4688833329
203	0.4687375197
204	0.468565459
205	0.4683460313
206	0.4682013231
207	0.4679537994
208	0.4677674378
