iter	Passed	Remaining
401	16999	25287
402	17040	25243
403	17080	25198
404	17122	25155
405	17161	25107
406	17203	25064
407	17242	25019
408	17283	24974
409	17326	24932
410	17366	24888
411	17405	24841
412	17446	24797
413	17489	24755
414	17529	24710
415	17570	24666
416	17612	24623
417	17656	24584
418	17696	24539
419	17738	24496
420	17779	24452
421	17824	24413
422	17866	24371
423	17908	24328
424	17949	24284
425	17990	24240
426	18029	24194
427	18069	24148
428	18110	24105
429	18149	24059
430	18191	24015
431	18232	23972
432	18277	23933
433	18318	23889
434	18362	23849
435	18401	23804
436	18444	23762
437	18487	23721
438	18531	23681
439	18574	23639
440	18614	23595
441	18657	23553
442	18700	23512
443	18743	23471
444	18785	23428
445	18826	23385
446	18871	23346
447	18914	23305
448	18960	23268
449	19001	23224
450	19043	23181
451	19086	23139
452	19127	23096
453	19168	23053
454	19212	23012
455	19253	22969
456	19295	22926
457	19340	22888
458	19381	22843
459	19425	22803
460	19466	22760
461	19509	22718
462	19552	22677
463	19593	22633
464	19633	22589
465	19677	22548
466	19720	22508
467	19762	22464
468	19804	22422
469	19844	22377
470	19885	22333
471	19926	22290
472	19968	22247
473	20010	22205
474	20054	22165
475	20097	22124
476	20136	22078
477	20177	22035
478	20219	21992
479	20260	21949
480	20302	21906
481	20345	21865
482	20386	21821
483	20427	21778
484	20467	21733
485	20510	21692
486	20554	21651
487	20595	21608
488	20640	21568
489	20681	21526
490	20726	21486
491	20768	21443
492	20811	21402
493	20852	21359
494	20895	21317
495	20940	21278
496	20982	21235
497	21023	21191
498	21063	21148
499	21105	21105
500	21147	21063
501	21188	21019
502	21231	20977
503	21273	20936
504	21317	20895
505	21359	20853
506	21403	20812
507	21445	20770
508	21487	20727
509	21529	20684
510	21574	20645
511	21617	20603
512	21660	20563
513	21704	20521
514	21748	20481
515	21789	20438
516	21830	20394
517	21871	20351
518	21913	20308
519	21954	20265
520	21996	20223
521	22040	20182
522	22081	20139
523	22122	20095
524	22162	20051
525	22204	20009
526	22245	19966
527	22288	19924
528	22330	19882
529	22372	19839
530	22414	19796
531	22454	19753
532	22495	19709
533	22535	19666
534	22579	19625
535	22622	19583
536	22666	19542
537	22709	19501
538	22749	19457
539	22789	19413
540	22831	19370
541	22871	19327
542	22912	19283
543	22955	19242
544	22999	19201
545	23042	19159
546	23083	19116
547	23127	19075
548	23170	19034
549	23211	18990
550	23255	18950
551	23297	18908
552	23339	18865
553	23383	18825
554	23425	18782
555	23465	18738
556	23509	18697
557	23550	18654
558	23594	18614
559	23637	18572
560	23678	18528
561	23719	18486
562	23761	18443
563	23802	18400
564	23845	18359
565	23891	18319
566	23933	18277
567	23973	18233
568	24013	18189
569	24055	18147
570	24095	18103
571	24139	18062
572	24180	18018
573	24221	17976
574	24263	17934
575	24304	17890
576	24346	17848
577	24390	17807
578	24433	17765
579	24476	17724
580	24516	17680
581	24556	17637
582	24598	17594
583	24642	17553
584	24682	17509
585	24723	17466
586	24763	17422
587	24806	17381
588	24850	17340
589	24895	17300
590	24938	17258
591	24978	17215
592	25022	17173
593	25064	17131
594	25105	17088
595	25146	17045
596	25188	17003
597	25230	16961
598	25273	16919
599	25317	16878
600	25360	16836
601	25403	16794
602	25445	16752
603	25486	16709
604	25526	16666
605	25565	16621
606	25608	16580
607	25653	16539
608	25694	16497
609	25735	16453
610	25777	16411
611	25819	16369
612	25861	16327
613	25901	16283
614	25945	16242
615	25985	16198
616	26030	16158
617	26071	16115
618	26114	16073
619	26157	16032
620	26201	15990
621	26243	15948
622	26284	15905
623	26325	15862
624	26366	15820
625	26407	15776
626	26449	15734
627	26493	15693
628	26537	15652
629	26577	15608
630	26620	15567
631	26660	15524
632	26701	15480
633	26744	15439
634	26787	15397
635	26828	15354
636	26870	15312
637	26911	15269
638	26953	15227
639	26995	15185
640	27038	15143
641	27080	15100
642	27124	15059
643	27166	15017
644	27210	14976
645	27251	14933
646	27294	14891
647	27335	14849
648	27380	14808
649	27424	14766
650	27464	14723
651	27505	14680
652	27547	14638
653	27590	14596
654	27634	14555
655	27678	14514
656	27719	14471
657	27762	14429
658	27806	14388
659	27849	14346
660	27890	14303
661	27932	14261
662	27972	14218
663	28016	14177
664	28060	14135
665	28101	14092
666	28140	14049
667	28186	14008
668	28226	13965
669	28267	13922
670	28309	13880
671	28352	13838
672	28392	13795
673	28432	13752
674	28473	13709
675	28514	13666
676	28555	13623
677	28598	13581
678	28643	13541
679	28685	13499
680	28727	13456
681	28767	13413
682	28809	13371
683	28853	13329
684	28894	13287
