iter	Logloss
0	0.6463201308
1	0.6033974663
2	0.5650487886
3	0.5284620808
4	0.4958994708
5	0.46724629
6	0.4412527343
7	0.4173986892
8	0.3957727331
9	0.3766240572
10	0.3589829798
11	0.3433926725
12	0.3294151706
13	0.3163838301
14	0.3048728417
15	0.293815887
16	0.2838729003
17	0.2750033273
18	0.2668418336
19	0.2595006433
20	0.2523518774
21	0.246595326
22	0.2409159848
23	0.2359007088
24	0.2313997314
25	0.2272365692
26	0.223467626
27	0.2194237365
28	0.2159971856
29	0.2127287437
30	0.2100166498
31	0.2075031633
32	0.2051087728
33	0.2030281436
34	0.2007915372
35	0.1989233379
36	0.1970172645
37	0.1954588503
38	0.1938593567
39	0.1923242651
40	0.1911349329
41	0.1899525651
42	0.1888307739
43	0.1874458596
44	0.1863087695
45	0.1850757346
46	0.1841459159
47	0.1831825938
48	0.1822979709
49	0.1815608945
50	0.1808839904
51	0.1801906196
52	0.1794000317
53	0.1787566827
54	0.1779337332
55	0.1773096198
56	0.1766844616
57	0.1761281447
58	0.1753523203
59	0.1747672984
60	0.1742909935
61	0.1739024331
62	0.1735301421
63	0.1730001085
64	0.1725201859
65	0.1721399527
66	0.1716821811
67	0.1713263146
68	0.1708554775
69	0.1704336449
70	0.1700944545
71	0.1696358792
72	0.1693124032
73	0.1689536801
74	0.1687049225
75	0.1683143485
76	0.1681178398
77	0.1678794882
78	0.1676164667
79	0.167355537
80	0.1670197213
81	0.1666832553
82	0.1664113947
83	0.1660930392
84	0.1658301452
85	0.1655482632
86	0.1652817032
87	0.1650353847
88	0.1647151037
89	0.1644708995
90	0.1641693258
91	0.1639036501
92	0.1637520805
93	0.163515319
94	0.1633255967
95	0.1631297912
96	0.1629604683
97	0.1628507589
98	0.1625664516
99	0.1623362723
100	0.1621063769
101	0.1618802713
102	0.1616944589
103	0.1615655142
104	0.1613091029
105	0.1610300525
106	0.1608935691
107	0.1606947902
108	0.160430142
109	0.1602662233
110	0.159997139
111	0.1598231956
112	0.1596200212
113	0.1593726291
114	0.1592332292
115	0.159124895
116	0.1589186388
117	0.1587469234
118	0.1587101901
119	0.1584482008
120	0.1582472363
121	0.1580404017
122	0.1578743045
123	0.1575540537
124	0.1574497594
125	0.1572579199
126	0.1570714683
127	0.1569304071
128	0.1567515862
129	0.1565740466
130	0.1563522267
131	0.1561310939
132	0.1559448065
133	0.1557787993
134	0.1556047321
135	0.1554554199
136	0.1552804655
137	0.1551676405
138	0.1549713206
139	0.1549095584
140	0.1547693644
141	0.1546148346
142	0.1544723467
143	0.1543406215
144	0.1542584277
145	0.1540654786
146	0.1538927171
147	0.1538078673
148	0.1536667482
149	0.1535071779
150	0.1533686969
151	0.1532877703
152	0.1530795287
153	0.1528496952
154	0.1526992194
155	0.1525342438
156	0.1523728158
157	0.1521725041
158	0.1520577783
159	0.151926631
160	0.1518112489
161	0.1516932609
162	0.1516435826
163	0.1515644151
164	0.151455567
165	0.1512956573
166	0.151136876
167	0.1510852912
168	0.1509231615
169	0.1507652644
170	0.1506065085
171	0.1504405469
172	0.1503159571
173	0.1501162226
174	0.149942142
175	0.149832518
176	0.1496452963
177	0.1494382254
178	0.1493031245
179	0.1492300792
180	0.1490442364
181	0.1488803675
182	0.1487632832
183	0.1486549395
184	0.1484404874
185	0.1483268537
186	0.1482303371
187	0.1481234019
188	0.1480381359
189	0.147872594
190	0.1476975205
191	0.1475787358
192	0.1474410404
193	0.1473358897
194	0.1472499081
195	0.1470926347
196	0.1470386866
197	0.1469062751
198	0.1467872835
199	0.1466025895
200	0.1464267291
201	0.1462822484
202	0.1461635666
203	0.1460213897
204	0.1459675356
205	0.1458266521
206	0.1457216639
207	0.1456333728
208	0.1454877603
209	0.1454287419
210	0.1453658574
211	0.1452287297
212	0.1451369935
213	0.1451262822
214	0.1450206935
215	0.144949262
216	0.1447989972
217	0.1445616689
218	0.1443981167
219	0.1442730901
220	0.1441063762
221	0.1440005153
222	0.1437619575
223	0.1436417126
224	0.1435026293
225	0.1433571573
226	0.143135544
227	0.1430465878
228	0.1428920279
229	0.1428792492
230	0.142794925
231	0.1427322144
232	0.1426158018
233	0.1425621042
234	0.1424117573
235	0.1422463393
236	0.1421238829
237	0.1420610899
238	0.1419516268
239	0.1418796024
240	0.1416994238
241	0.1416122284
242	0.1415389023
243	0.1414240029
244	0.1412663692
245	0.1411210867
246	0.1410086939
247	0.1409248015
248	0.1407616771
249	0.1406632828
250	0.1405540983
251	0.1404342396
252	0.1402626613
253	0.1401323851
254	0.1399657149
255	0.1399184568
256	0.1399026282
257	0.1397799251
258	0.1395896999
259	0.1395536199
260	0.1394557846
261	0.1393909252
262	0.1392924872
263	0.1391519184
264	0.1390360721
265	0.1388789493
266	0.1388541987
267	0.1387759573
268	0.1387015688
269	0.1386165608
270	0.138453211
271	0.1384152305
272	0.1383634535
273	0.1382439813
274	0.1380710078
275	0.1378807336
276	0.1378668936
277	0.1377837539
278	0.1377680106
279	0.137691027
280	0.1376788526
281	0.1375202792
282	0.1374831615
283	0.1373735504
284	0.1372443129
285	0.1370903743
286	0.1369943089
287	0.136953576
288	0.1367637923
289	0.1366320382
